,precision,recall,f1-score,support
1,0.6,0.6,0.6,10.0
2,0.8277511961722488,0.9351351351351351,0.8781725888324873,185.0
3,0.8275862068965517,0.5783132530120482,0.6808510638297872,83.0
4,0.37777777777777777,0.34,0.3578947368421052,50.0
5,0.0,0.0,0.0,1.0
6,0.6055045871559633,0.6502463054187192,0.6270783847980997,203.0
7,0.5897435897435898,0.8518518518518519,0.6969696969696971,27.0
8,0.8007968127490039,0.7416974169741697,0.7701149425287356,271.0
accuracy,0.7228915662650602,0.7228915662650602,0.7228915662650602,0.7228915662650602
macro avg,0.5786450213118919,0.5871554952989905,0.576385176725114,830.0
weighted avg,0.7259866984625136,0.7228915662650602,0.7201006595559893,830.0
