,precision,recall,f1-score,support
1,0.0,0.0,0.0,10.0
2,0.8333333333333334,0.918918918918919,0.8740359897172236,185.0
3,0.7777777777777778,0.5903614457831325,0.6712328767123287,83.0
4,0.6111111111111112,0.66,0.6346153846153846,50.0
5,0.0,0.0,0.0,1.0
6,0.6839378238341969,0.6502463054187192,0.6666666666666667,203.0
7,0.3466666666666667,0.9629629629629629,0.5098039215686275,27.0
8,0.8347826086956521,0.7084870848708487,0.7664670658682634,271.0
9,0.0,0.0,0.0,0.0
accuracy,0.7253012048192771,0.7253012048192771,0.7253012048192771,0.7253012048192771
macro avg,0.45417881349097095,0.49899741310606477,0.4580913227942772,830.0
weighted avg,0.7514496903284837,0.7253012048192771,0.7300606869416439,830.0
