iter	Passed	Remaining
0	173	13687
1	551	21498
2	821	21094
3	1288	24481
4	1797	26964
5	2441	30116
6	2780	28998
7	2995	26960
8	3215	25367
9	3504	24532
10	3749	23517
11	3958	22430
12	4169	21486
13	4375	20625
14	4648	20143
15	4859	19437
16	5068	18781
17	5276	18173
18	5563	17861
19	5900	17700
20	6162	17312
21	6417	16919
22	6820	16903
23	7038	16423
24	7270	15994
25	7548	15676
26	7766	15244
27	8004	14864
28	8223	14461
29	8431	14052
30	8699	13751
31	8928	13392
32	9151	13034
33	9360	12664
34	9650	12407
35	9857	12047
36	10067	11699
37	10271	11352
38	10480	11017
39	10750	10750
40	11042	10503
41	11277	10203
42	11514	9907
43	11817	9668
44	12031	9357
45	12250	9054
46	12459	8748
47	12720	8480
48	12930	8180
49	13150	7890
50	13360	7597
51	13625	7336
52	13836	7048
53	14040	6760
54	14280	6491
55	14757	6324
56	15127	6104
57	15411	5845
58	15816	5629
59	16034	5344
60	16289	5073
61	16524	4797
62	16847	4546
63	17067	4266
64	17320	3997
65	17575	3728
66	17859	3465
67	18181	3208
68	18394	2932
69	18730	2675
70	19041	2413
71	19317	2146
72	19556	1875
73	19956	1618
74	20256	1350
75	20548	1081
76	20819	811
77	21066	540
78	21290	269
79	21496	0
