iter	Accuracy	MultiClass
0	0.3875632683	2.180891652
1	0.3875632683	2.165119787
2	0.3875632683	2.149875849
3	0.3875632683	2.135129637
4	0.3875632683	2.120853541
5	0.3875632683	2.107022242
6	0.3875632683	2.09361246
7	0.3875632683	2.080602736
8	0.3875632683	2.06797324
9	0.3875632683	2.055705606
10	0.3875632683	2.043782791
11	0.3875632683	2.032188943
12	0.3875632683	2.020909295
13	0.3875632683	2.009930061
14	0.3875632683	1.999238352
15	0.3875632683	1.988822099
16	0.3875632683	1.978669981
17	0.3875632683	1.968771363
18	0.3875632683	1.959116243
19	0.3875632683	1.9496952
20	0.3875632683	1.940499349
21	0.3875632683	1.9315203
22	0.3875632683	1.922750123
23	0.3875632683	1.914181313
24	0.3875632683	1.90580676
25	0.3875632683	1.897619719
26	0.3875632683	1.88961379
27	0.3875632683	1.881782889
28	0.3875632683	1.874121232
29	0.3875632683	1.866623312
30	0.3875632683	1.859283882
31	0.3875632683	1.85209794
32	0.3875632683	1.845060711
33	0.3875632683	1.838167637
34	0.3875632683	1.831414361
35	0.3875632683	1.824796716
36	0.3875632683	1.818310715
37	0.3875632683	1.811952537
38	0.3875632683	1.805718524
39	0.3875632683	1.799605166
40	0.3875632683	1.793609096
41	0.3875632683	1.787727081
42	0.3875632683	1.781956017
43	0.3875632683	1.776292918
44	0.3875632683	1.770734915
45	0.3875632683	1.765279247
46	0.3875632683	1.759923254
47	0.3875632683	1.754664377
48	0.3875632683	1.749500148
49	0.3875632683	1.74442819
50	0.3875632683	1.739446209
51	0.3875632683	1.734551991
52	0.3875632683	1.729743399
53	0.3875632683	1.725018371
54	0.3875632683	1.720374913
55	0.3875632683	1.715811098
56	0.3875632683	1.711325063
57	0.3875632683	1.706915005
58	0.3875632683	1.702579182
59	0.3875632683	1.698315906
60	0.3875632683	1.694123541
61	0.3875632683	1.690000505
62	0.3875632683	1.685945264
63	0.3875632683	1.681956331
64	0.3875632683	1.678032263
65	0.3875632683	1.674171662
66	0.3875632683	1.670373171
67	0.3875632683	1.666635473
68	0.3875632683	1.66295729
69	0.3875632683	1.65933738
70	0.3875632683	1.655774537
71	0.3875632683	1.653502096
72	0.3875632683	1.650017907
73	0.3875632683	1.646587948
74	0.3875632683	1.644261674
75	0.3875632683	1.640908384
76	0.3875632683	1.637606637
77	0.3875632683	1.634355415
78	0.3875632683	1.632140996
79	0.3875632683	1.628962217
80	0.3875632683	1.625831509
81	0.3875632683	1.622747948
82	0.3875632683	1.619710633
83	0.3875632683	1.616718688
84	0.3875632683	1.614746554
85	0.3875632683	1.611816484
86	0.3875632683	1.609857671
