iter	Passed	Remaining
0	6	34037
1	11	27769
2	14	23666
3	17	21851
4	20	20740
5	23	19755
6	26	19168
7	30	18816
8	33	18464
9	36	18436
10	40	18209
11	43	18068
12	46	17814
13	49	17667
14	53	17707
15	56	17699
16	59	17578
17	63	17503
18	66	17370
19	69	17265
20	72	17150
21	75	17180
22	79	17291
23	83	17310
24	86	17245
25	89	17199
26	93	17208
27	97	17227
28	100	17216
29	104	17242
30	107	17206
31	110	17193
32	114	17238
33	117	17221
34	121	17253
35	125	17284
36	128	17282
37	132	17247
38	135	17246
39	138	17202
40	142	17215
41	145	17226
42	150	17384
43	155	17544
44	159	17572
45	164	17727
46	168	17730
47	171	17736
48	175	17755
49	182	18064
50	187	18210
51	191	18205
52	195	18207
53	198	18211
54	202	18205
55	206	18193
56	209	18196
57	213	18200
58	217	18195
59	221	18196
60	224	18196
61	228	18195
62	232	18195
63	235	18187
64	239	18208
65	243	18219
66	247	18212
67	251	18205
68	254	18216
69	258	18213
70	262	18215
71	266	18217
72	269	18213
73	273	18208
74	277	18213
75	281	18206
76	284	18202
77	288	18224
78	293	18272
79	297	18283
80	301	18279
81	304	18271
82	308	18275
83	312	18270
84	315	18265
85	319	18267
86	323	18264
87	327	18264
88	331	18293
89	335	18297
90	339	18295
91	343	18300
92	346	18294
93	350	18288
94	354	18299
95	358	18309
96	362	18309
97	366	18313
98	370	18318
99	373	18324
100	377	18331
101	381	18332
102	385	18339
103	389	18357
104	393	18361
105	397	18369
106	401	18382
107	405	18375
108	410	18403
109	416	18519
110	431	19015
111	438	19149
112	452	19548
113	456	19586
114	460	19576
115	465	19591
116	481	20081
117	498	20632
118	517	21236
119	520	21172
120	532	21454
121	541	21646
122	544	21579
123	549	21589
124	553	21573
125	560	21664
126	562	21582
127	564	21505
128	570	21539
129	576	21600
130	580	21574
131	588	21701
132	595	21793
133	599	21771
134	608	21943
135	611	21866
136	615	21831
137	621	21899
138	626	21901
139	629	21864
140	637	21952
141	641	21961
142	645	21931
143	650	21952
144	656	21984
145	659	21914
146	662	21886
147	669	21951
148	674	21970
149	679	21974
150	691	22216
151	695	22173
152	701	22227
153	706	22233
154	709	22174
155	714	22190
156	719	22195
157	723	22168
158	726	22126
159	734	22229
160	740	22248
161	744	22239
162	750	22278
163	753	22215
164	755	22146
165	758	22089
166	765	22165
167	770	22161
168	772	22096
169	781	22205
170	786	22210
171	789	22169
172	796	22230
173	799	22182
174	802	22132
175	805	22071
176	807	22015
177	810	21955
178	812	21895
179	817	21895
180	820	21837
181	823	21790
182	825	21734
183	828	21676
184	830	21626
185	833	21580
186	836	21526
187	839	21496
188	842	21440
189	845	21395
190	847	21342
191	850	21291
192	853	21248
193	855	21199
194	858	21149
195	860	21100
196	863	21048
197	865	20998
198	868	20953
199	871	20909
200	873	20857
201	876	20807
202	878	20764
203	881	20716
204	883	20666
205	886	20621
206	888	20573
207	891	20532
208	893	20486
209	896	20439
210	898	20396
211	901	20358
212	904	20337
213	907	20291
214	909	20248
215	912	20208
216	914	20164
217	917	20133
218	920	20105
219	923	20064
220	926	20025
221	928	19983
222	930	19941
223	934	19923
224	938	19916
225	940	19873
226	943	19831
227	945	19797
228	948	19758
229	952	19752
230	954	19715
231	957	19676
232	959	19638
233	962	19599
234	965	19568
235	968	19555
236	986	19824
237	990	19813
238	993	19800
239	998	19812
240	1003	19806
241	1006	19793
242	1010	19789
243	1015	19792
244	1019	19788
245	1023	19785
246	1028	19789
247	1032	19787
248	1037	19792
249	1041	19786
250	1045	19785
251	1049	19779
252	1053	19772
253	1058	19770
254	1062	19768
255	1066	19770
256	1072	19790
257	1076	19790
258	1081	19797
259	1085	19792
260	1089	19788
261	1094	19785
262	1098	19783
263	1102	19779
264	1106	19776
265	1111	19775
266	1116	19789
267	1120	19789
268	1125	19796
269	1129	19791
270	1134	19789
271	1138	19786
272	1142	19783
273	1146	19778
274	1150	19774
275	1167	19987
276	1173	20013
277	1178	20010
278	1182	20016
279	1187	20012
280	1191	20009
281	1195	20006
282	1200	20003
283	1204	19998
284	1209	20002
285	1215	20029
286	1220	20034
287	1224	20029
288	1228	20027
289	1232	20024
290	1238	20045
291	1243	20043
292	1246	20028
293	1250	20021
294	1254	20012
295	1260	20024
296	1267	20071
297	1275	20122
298	1285	20211
299	1306	20465
300	1312	20494
301	1319	20525
302	1329	20602
303	1332	20584
304	1335	20551
305	1343	20612
306	1348	20616
307	1356	20663
308	1366	20744
309	1380	20886
310	1393	21007
311	1397	20996
312	1411	21132
313	1427	21298
314	1431	21296
315	1442	21383
316	1448	21401
317	1451	21369
318	1454	21340
319	1456	21307
320	1459	21278
321	1463	21254
322	1465	21223
323	1470	21221
324	1474	21205
325	1477	21184
326	1480	21152
327	1486	21168
328	1488	21135
329	1492	21123
330	1495	21093
331	1498	21068
332	1502	21055
333	1504	21023
334	1507	20994
335	1510	20974
336	1514	20950
337	1518	20950
338	1521	20918
339	1524	20889
340	1526	20859
341	1531	20852
342	1540	20916
343	1546	20926
344	1551	20938
345	1559	20970
346	1563	20966
347	1567	20956
348	1571	20945
349	1576	20944
350	1580	20940
351	1585	20932
352	1589	20922
353	1593	20917
354	1598	20916
355	1603	20913
356	1607	20908
357	1611	20901
358	1615	20890
359	1620	20886
360	1624	20877
361	1629	20875
362	1633	20870
363	1637	20860
364	1642	20857
365	1656	20975
366	1662	20987
367	1665	20958
368	1667	20926
369	1669	20895
370	1672	20864
371	1676	20858
372	1682	20866
373	1686	20860
374	1689	20832
375	1691	20804
376	1694	20775
377	1696	20747
378	1699	20718
379	1701	20690
380	1704	20663
381	1706	20635
382	1709	20606
383	1711	20578
384	1714	20548
385	1716	20521
386	1719	20493
387	1721	20466
388	1724	20439
389	1726	20411
390	1729	20383
391	1731	20354
392	1734	20328
393	1736	20302
394	1739	20277
395	1741	20250
396	1744	20224
397	1746	20198
398	1749	20172
399	1751	20146
400	1754	20121
401	1756	20095
402	1759	20069
403	1761	20042
404	1764	20018
405	1766	19993
406	1769	19967
407	1771	19942
408	1774	19917
409	1776	19891
410	1779	19865
411	1781	19840
412	1784	19815
413	1786	19790
414	1789	19766
415	1791	19741
416	1793	19716
417	1796	19697
418	1799	19673
419	1802	19651
420	1804	19628
421	1807	19604
422	1809	19581
423	1812	19558
424	1814	19534
425	1817	19511
426	1819	19489
427	1822	19465
428	1824	19441
429	1827	19418
430	1829	19395
431	1832	19372
432	1834	19350
433	1837	19330
434	1839	19308
435	1842	19286
436	1844	19263
437	1847	19241
438	1849	19219
439	1852	19198
440	1854	19175
441	1857	19153
442	1859	19131
443	1862	19110
444	1865	19091
445	1867	19071
446	1870	19050
447	1872	19030
448	1875	19008
449	1877	18987
450	1880	18965
451	1882	18943
452	1885	18925
453	1887	18904
454	1890	18883
455	1892	18862
456	1895	18841
457	1897	18820
458	1900	18798
459	1902	18778
460	1905	18757
461	1907	18736
462	1910	18716
463	1912	18695
464	1915	18676
465	1917	18656
466	1920	18637
467	1922	18617
468	1924	18596
469	1927	18576
470	1929	18556
471	1932	18537
472	1934	18516
473	1937	18496
474	1939	18477
475	1942	18458
476	1944	18438
477	1963	18577
478	1978	18672
479	1984	18682
480	1987	18673
481	1991	18666
482	1999	18698
483	2005	18708
484	2008	18699
485	2016	18726
486	2021	18734
487	2027	18748
488	2032	18747
489	2037	18756
490	2040	18738
491	2044	18735
492	2047	18720
493	2051	18711
494	2054	18693
495	2056	18675
496	2061	18676
497	2063	18658
498	2067	18646
499	2069	18629
500	2072	18610
501	2077	18617
502	2080	18599
503	2083	18587
504	2086	18571
505	2088	18552
506	2093	18555
507	2096	18536
508	2100	18535
509	2103	18516
510	2107	18513
511	2110	18501
512	2113	18483
513	2116	18471
514	2119	18453
515	2122	18444
516	2126	18437
517	2128	18419
518	2132	18409
519	2134	18391
520	2137	18377
521	2142	18377
522	2144	18359
523	2148	18349
524	2150	18331
525	2155	18332
526	2158	18324
527	2161	18306
528	2164	18293
529	2167	18276
530	2170	18269
531	2174	18262
532	2177	18245
533	2180	18233
534	2182	18216
535	2186	18207
536	2189	18198
537	2192	18182
538	2195	18168
539	2197	18151
540	2200	18134
541	2204	18131
542	2206	18114
543	2209	18097
544	2211	18081
545	2214	18067
546	2218	18057
547	2221	18048
548	2224	18032
549	2226	18016
550	2229	17999
551	2231	17983
552	2236	17981
553	2238	17964
554	2241	17948
555	2243	17932
556	2247	17929
557	2253	17940
558	2256	17923
559	2258	17906
560	2260	17889
561	2263	17872
562	2266	17864
563	2269	17852
564	2272	17836
565	2274	17820
566	2277	17805
567	2279	17789
568	2283	17782
569	2286	17770
570	2289	17755
571	2291	17739
572	2294	17724
573	2296	17711
574	2299	17696
575	2302	17680
576	2304	17664
577	2306	17648
578	2309	17632
579	2311	17617
580	2314	17602
581	2316	17587
582	2319	17572
583	2321	17557
584	2324	17542
585	2327	17528
586	2329	17513
587	2332	17498
588	2334	17484
589	2337	17469
590	2339	17454
591	2342	17440
592	2344	17425
593	2347	17411
594	2349	17395
595	2352	17381
596	2354	17366
597	2357	17352
598	2359	17338
599	2362	17324
600	2364	17310
601	2367	17296
602	2370	17282
603	2372	17268
604	2375	17254
605	2377	17240
606	2380	17225
607	2382	17212
608	2385	17199
609	2388	17187
610	2390	17173
611	2393	17159
612	2395	17146
613	2398	17131
614	2400	17118
615	2403	17104
616	2406	17092
617	2408	17079
618	2411	17065
619	2413	17053
620	2418	17053
621	2422	17052
622	2430	17077
623	2435	17080
624	2439	17079
625	2450	17119
626	2458	17143
627	2466	17168
628	2474	17192
629	2481	17211
630	2489	17239
631	2497	17259
632	2504	17278
633	2515	17324
634	2523	17349
635	2533	17382
636	2535	17368
637	2538	17353
638	2540	17341
639	2543	17327
640	2548	17328
641	2550	17315
642	2553	17301
643	2555	17288
644	2558	17274
645	2561	17261
646	2564	17252
647	2566	17239
648	2569	17225
649	2571	17211
650	2574	17200
651	2577	17187
652	2579	17173
653	2582	17161
654	2585	17150
655	2587	17137
656	2590	17123
657	2592	17109
658	2595	17095
659	2597	17082
660	2600	17069
661	2602	17056
662	2605	17043
663	2608	17031
664	2610	17019
665	2613	17007
666	2616	16996
667	2618	16983
668	2621	16970
669	2623	16956
670	2626	16943
671	2628	16929
672	2631	16916
673	2633	16903
674	2636	16890
675	2638	16878
676	2641	16865
677	2643	16852
678	2646	16839
679	2648	16826
680	2651	16813
681	2653	16800
682	2655	16787
683	2658	16774
684	2660	16761
685	2663	16749
686	2665	16736
687	2668	16723
688	2670	16710
689	2673	16698
690	2675	16685
691	2678	16672
692	2680	16659
693	2683	16647
694	2685	16635
695	2687	16622
696	2690	16609
697	2692	16596
698	2695	16584
699	2697	16571
700	2700	16558
701	2702	16546
702	2705	16536
703	2707	16524
704	2710	16514
705	2713	16501
706	2715	16489
707	2718	16477
708	2720	16464
709	2722	16452
710	2725	16440
711	2727	16429
712	2730	16416
